produto,preco
Tênis Masculino Rayon Esporte Running R1406,R$ 150
Botas de cano alto marrom número 36,R$ 52
Tênis Esportivo Azul com Detalhes em Amarelo,R$ 400
Tênis Everlast azul - quase Novo n. 40Br lindo,R$ 60
Bicicleta B-TWIN Aro 26,R$ 300
Bike speed Grupo shimano Claris - Pra sair rápido! Leia descrição,R$ 650
Roda DT Swiss R470 - Freio a Disco 700cc,R$ 1.200
Bicicleta Houston Aro 24,R$ 220
Cafeteira Elétrica Hamilton Beach BrewStation,R$ 320
Cafeteira hamilton beach brewstation 48274bz 220v,R$ 150
Máquina de Café Nespresso Vertuo,R$ 250
Sanduicheira 3 em 1 Express - 420 Watts,R$ 69
Fiat 500 1.4 Cabrio 8V Flex 2P Automatizado,R$ 59.900
fiat 500 com teto ,solar,R$ 43.000
Fiat 500 Cult Dualogic 1.4 Evo (Flex),R$ 49.900
FIAT 500 SPORT AIR,R$ 63.990
Water Cooler Corsair Nautilus 360 RS, 360mm, Preto, CW-9060089-WW,R$ 719,99
Memoria Adata XPG Lancer Neon, RGB, 16GB (1x16GB), DDR5, 6400MHz, C32, AX5U6400C3216G-CLANRSG,R$ 639,99
Tela de Projecao Eletrica Zinnia, 100 Pol, Retratil, Com Controle Remoto, ZNO-TP100-BL01,R$ 6.399,99
Placa de Video AsRock Radeon RX 9060 XT Challenger, 8GB, GDDR6, 128-bit, 90-GA5TZZ-00UANF - PRE VENDA,R$ 2.629,99
Placa de Video Mancer GeForce RTX 3060 Heimdall V2, 12GB, GDDR6, 192-bit, MCR-RTX306012GB-HDLLV2,R$ 2.399,99
Placa de Video Mancer Radeon RX 590 Streaky, 8GB, GDDR5, 256-bit, MCR-RX5908GB-STK,R$ 779,99
Cadeira Gamer Pichau Omega R10 Ronaldinho, Espuma Moldada, Braco 4D, Preto e Dourado, PG-OMGS-R10,R$ 1.249,99
Gabinete Gamer Acegeek Aquarium M345, Mid-Tower, Lateral de Vidro, Preto, AG-AQUARIUM-M345-BK,R$ 209,99
Pichau Kit upgrade, AMD Ryzen 7 5700X3D, B550M Aorus Elite DDR4,R$ 2.399,99
Luminaria Zinnia Cintila V2, RGB, Preto, ZNS-ZCTLAV2-BL01,R$ 199,99
PC Gamer Pichau Abdero, AMD Ryzen 7 5700X, GeForce RTX 4060 8GB, 16GB DDR4, SSD 480GB,R$ 5.189,02
Monitor Gamer Pichau Centauri Pulse 27, 27 Pol, IPS, 2K, 165Hz, 1ms, FreeSync, HDMI/DP, PG-CRPLS27-BL01,R$ 1.069,99
Processador AMD Ryzen 7 9800X3D, 8-Core, 16-Threads, 4.7GHz (5.2GHz Turbo), Cache 104MB, AM5, 100-100001084WOF,R$ 2.789,99
Combo Gamer Pichau Netuno V2 4x1, Rainbow, Teclado Mecanico ABNT2, Mouse 4200DPI, Mousepad Medio, Headset Drivers 50mm, PG-NTNX-RBW01 - PRE VENDA,R$ 299,99
Placa de Video Gigabyte Radeon RX 7600 Gaming OC, 8GB, GDDR6, 128-bit, GV-R76GAMING-OC-8GD,R$ 1.899,99
Mesa Digitalizadora Zinnia Momentum MT50, 5080LPI, Niveis de Pressao 8192, Preto, ZNC-ZNMT50-BL01,R$ 146,99
Combo Gamer Pichau Netuno Light 3x1, Rainbow, Teclado Mecanico ABNT2, Mouse 4200DPI, Mousepad Medio, PG-NTNL-RBW01 - PRE VENDA,R$ 199,99
Display Interativo Zinnia Momentum MT1200, Painel 11,6 Pol, IPS, FHD, 5080LPI, Niveis de Pressao 8192, Preto, ZNC-ZNMT1200-BL01,R$ 987,99
Fonte Aigo Darkflash AT550, 550W, 80 Plus Bronze, Preto, AG-AT550-BK,R$ 219,99
Mesa Digitalizadora Zinnia MT100 Pro, 5080LPI, Niveis de Pressao 16384, Preto, ZNC-ZNMT100-BL02,R$ 159,99
Memoria Team Group T-Force Delta A, RGB, 16GB (1x16GB), 6000MHz, DDR5, CL38, Preta, FF7D516G6000HC38A01,R$ 429,99
SSD Lexar NM620, 512GB, M.2 2280, PCIe NVMe, Leitura 3500 MB/s, Gravacao 2400 MB/s, LNM620X512G-RNNNU,R$ 239,99
Water Cooler Aigo Darkflash Nebula DN-240D, ARGB, 240mm, Preto, DN-240D-BK,R$ 439,99
Kit Ventoinhas Acegeek Neon, ARGB, 5x120mm, Preto, AG-NEON5X1-BK,R$ 199,99
Processador Intel Core i5-14400F, 10-Core, 16-Threads, 3.5GHz (4.7GHz Turbo), Cache 20MB, LGA1700, BX8071514400F,R$ 1.099,99
Mesa de Jantar Zinnia Eiffel ZM3, 80cm, Preto, ZNC-MEFL-BK02,R$ 287,00
Kit Cadeira Zinnia Eiffel ZC1 4 unidades, Preto, ZNC-EFL-BK02,R$ 514,29
Volante Simulador PRS Limited By Lotse, BY-LOTSE,R$ 4.199,99
Memoria Team Group T-Force Vulcan Z, 8GB (1x8GB), DDR4, 3200MHz, C16, Cinza, TLZGD48G3200HC16F01,R$ 124,99
Carrinho Organizador Zinnia Allure ZO2, Preto, ZNC-ALLR-BK02,R$ 106,49
Suporte Articulado Para Dois Monitores Pichau Aurion 200, RGB, 17 Pol. a 32 Pol., Preto e Branco, PG-AUR200-RGB01,R$ 259,99
Placa Mae Pichau Danuri B550M-PX, DDR4, Socket AM4, M-ATX, Chipset AMD B550, PCH-DNRB550M-PX,R$ 579,99
Fonte Galax Omega GLX850, 850W, ATX 3.0, PCIe 5.0, Full-Modular, Cybenetis Gold, PGO85GPTNAFB0,R$ 649,99
Suporte Articulado Com Pistao a Gas Para Monitor Zinnia Nimbo 110, 13 Pol. a 32 Pol., Preto, ZNO-ZNNBO110-BK01,R$ 119,99
Suporte Articulado Com Pistao a Gas Para Monitor Zinnia Nimbo 110, 13 Pol. a 32 Pol., Branco, ZNO-ZNNBO110-WH01,R$ 119,99
Mouse Redragon Cobra Pro, RGB, 16000DPI, 8 Botoes, Wireless, Branco, M711W-PRO,R$ 179,99
Pedal Simulador Embreagem PRS Sport, PRS-EMBR-SPORT,R$ 1.050,01
Processador AMD Ryzen 5 5600XT, 6-Core, 12-Threads, 3.7GHz (4.7GHz Turbo), Cache 35MB, AM4, 100-100001585BOX,R$ 999,99
Suporte Articulado Com Pistao a Gas Para Dois Monitores Zinnia Nimbo 210, 13 Pol. a 32 Pol., Preto, ZNO-ZNNBO210-BK01,R$ 199,99
Suporte Articulado Com Pistao a Gas Para Monitor Pichau Serpens, 17 Pol. a 49 Pol., RGB, Preto, PG-SRPNS-RGB01,R$ 409,99
Monitor Gamer TGT Altay Neo, 23.8 Pol, IPS, FHD, 1ms, 165Hz, FreeSync/G-Sync, HDMI/DP, TGT-ATTNEO-BL01,R$ 609,99
Processador Intel Core i7-12700KF, 12-Core, 20-Threads, 3.6GHz (5.0GHz Turbo), Cache 25MB, LGA1700, BX8071512700KF,R$ 1.549,99
100 pçs descartáveis látex borracha dedo berços conjuntos luvas protetoras de pontas dos dedos para telefone relógio ferramenta reparo,R$12,36
Cartas de profecia de baralho de tarô de folha dourada espanhola e inglesa para iniciantes com guia de 2 idiomas 12x7cm Toro Taro,R$44,99
Dual Tip Permanent Alcohol Drawing Markers, Art Sketch Markers para Ilustração, Material Escolar, 24, 36, 48, 60, 80, 120, 168, 262 cores,R$24,83
Trafza feminino listra amarela blusa calça terno solto camisa de manga longa com cordão calças 2024 moda feminina streetwear outfits,R$67,36
Placa-mãe QIYIDA X99 D4 LGA 2011 3 com slot M.2 Suporte X99 C612chip Memória DDR4 SATA3.0 USB3.0 PCI16X,R$201,30
Akko tac75 he teclado de interruptor magnético 75% teclados para jogos gatilho rápido 0.01mm 8k rgb com fio esports teclado personalizado para gamer,R$179,54
